Date,Opponent,GF,GA,Result,OT,Home
2025-09-21,Puck It,1,2,L,0,1
2025-09-26,Benders,2,7,L,0,0
2025-10-05,Fat Tugs,5,2,W,0,1
2025-10-15,Whalers,10,6,W,0,1
2025-10-22,Benders,2,7,L,0,0
2025-10-29,West Coast Express,4,5,L,0,1
2025-11-07,Whalers,2,9,L,0,1
2025-11-15,Havana Outlaws,6,1,W,0,0
2025-11-23,West Coast Express,6,3,W,0,1
2025-11-29,Scallywags,0,3,L,0,1
2025-12-12,Smoking Aces,7,4,W,0,0
2025-12-16,Havana Outlaws,8,1,W,0,0
2025-12-21,Kraken Beers,0,5,L,0,1
2026-01-11,Whalers,4,5,L,0,1
2026-01-18,Kraken Beers,6,5,W,1,0
2026-01-23,West Coast Express,6,5,W,1,1
2026-02-01,Whalers,2,3,OTL,1,1
2026-02-06,Kraken Beers,4,3,W,1,0
2026-02-11,West Coast Express,6,7,L,0,1
2026-02-15,Whalers,3,6,L,0,1
2026-02-23,Kraken Beers,3,4,OTL,1,0
2026-03-15,Whalers,7,8,L,0,1
2026-03-21,Kraken Beers,3,4,OTL,1,0
2026-03-26,West Coast Express,2,3,OTL,1,1
