Player,GP,W,L,GAA,SV%,SV,GA,SA,MIN,OTL,SO
Stuart Coy,1,0,1,3.08,0.952,40,2,42,39,0,0
Bob Peet,1,0,0,4.09,0.923,36,3,39,44,1,0
Mattias Parker,1,0,0,5.45,0.875,28,4,32,44,1,0
Shawn Rassekh,20,13,9,6.84,0.844,494,91,585,798,2,0
Zach Darowski,1,0,1,12.31,0.771,27,8,35,39,0,0
