Date,Opponent,GF,GA,Result,OT,Home
2024-04-06,Ravens,5,0,W,0,1
2024-04-10,West Coast Express,4,5,OTL,1,0
2024-04-18,Hornets,3,2,W,0,0
2024-04-26,Scallywags,5,6,OTL,1,0
