Player,GP,W,L,GAA,SV%,SV,GA,SA,MIN,OTL,SO
Shawn Rassekh,4,2,2,2.66,0.905,105,11,116,186,0,1
Sam Nerlund,0,0,0,0.00,0.000,0,0,0,0,0,0
