Date,Opponent,GF,GA,Result,OT,Home
2024-09-16,Smoking Aces,7,3,W,0,1
2024-09-21,Ravens,5,2,W,0,0
2024-09-26,West Coast Express,3,4,L,1,1
2024-10-03,Puck It,3,0,W,0,0
2024-10-08,Benders,0,6,L,0,1
2024-10-18,Scallywags,5,2,W,0,1
2024-11-03,Smoking Aces,8,5,W,0,1
2024-11-08,Ravens,4,3,W,0,1
2024-11-15,Benders,2,3,L,0,0
2024-11-26,West Coast Express,1,4,L,0,1
2024-12-05,Puck It,2,5,L,0,0
2024-12-10,Scallywags,4,6,L,0,1
2024-12-14,Smoking Aces,12,1,W,0,1
2025-01-11,West Coast Express,6,5,W,1,1
2025-01-21,Puck It,6,5,W,0,0
2025-01-26,Benders,2,3,L,1,0
2025-01-31,Smoking Aces,6,8,L,0,1
2025-02-03,West Coast Express,4,9,L,0,1
2025-02-21,Puck It,2,4,L,0,0
2025-02-27,Benders,2,7,L,0,0
2025-03-08,Smoking Aces,3,6,L,0,1
2025-03-21,Smoking Aces,6,4,W,0,1
2025-03-25,Ravens,4,0,W,0,0
